League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Australian A-League Men,2024-12-22,03:00:00,Western Sydney Wanderers,Wellington Phoenix,2.2,2.24,3.55,3.6,3.7,3.8,2.28,2.34,1.75,1.78,1.65,1.7,2.42,2.54,16.5,18.0,15.0,16.5,23.0,26.0,50.0,65.0,11.0,12.5,8.0,8.6,13.0,14.0,32.0,38.0,13.5,15.5,10.0,11.0,14.5,15.5,36.0,40.0,24.0,29.0,19.5,21.0,27.0,32.0,60.0,70.0,12.0,13.5,24.0,28.0,18.5,1000.0,33857553,6480414.0,2469649.0,58805.0,1.237093722,1.237093726,1.237093801,1.237093723,3.5,4.6,1.28,1.4,4.7,21.0,1.05,1.08,4.6,5.4,1.23,1.27,1.38,1.4,1.81,1.84,1.35,1.37,1.237093806,1.237093808,1.237093724,1.237093725
Hong Kong Premier League,2024-12-22,05:30:00,Hong Kong FC,Southern District,7.4,11.5,1.32,1.43,4.8,11.0,2.68,3.5,1.45,1.6,1.79,1.97,2.02,2.26,3.05,38.0,3.5,15.5,3.25,300.0,3.45,14.5,3.35,1000.0,3.6,17.5,3.35,13.0,3.75,16.5,4.3,100.0,3.35,1000.0,3.0,30.0,1.98,36.0,1.98,1000.0,1.95,1000.0,3.15,1000.0,4.3,1000.0,1.95,1000.0,3.8,44.0,3.35,1000.0,33883086,5222607.0,10268893.0,58805.0,1.237448048,1.237448093,1.237448132,1.237448057,4.0,5.3,1.25,1.32,1.27,55.0,1.03,1.06,2.68,7.8,1.15,1.21,3.3,4.4,1.1,1.14,1.17,1.23,1.237448049,1.237448051,1.237448052,1.237448096
Azerbaijan Premier League,2024-12-22,07:00:00,Shamakhi FK,FC Sabah,5.7,6.8,1.65,1.77,3.65,4.3,1.68,1.84,2.18,2.48,2.1,2.34,1.75,1.9,3.4,980.0,3.65,980.0,4.0,570.0,3.65,180.0,3.7,980.0,4.0,42.0,4.2,980.0,2.86,75.0,3.05,180.0,2.92,980.0,2.94,980.0,3.05,180.0,3.15,1000.0,3.15,350.0,3.15,1000.0,3.15,580.0,2.56,1000.0,4.7,55.0,3.2,1000.0,33879386,52957291.0,15293881.0,58805.0,1.237397549,1.237397594,1.237397633,1.237397558,1.2,3.4,1.42,1.72,5.0,18.0,1.07,1.16,2.98,3.5,1.4,1.51,2.28,2.54,1.17,1.2,1.31,1.38,1.237397550,1.237397552,1.237397553,1.237397597
Romanian Liga I,2024-12-22,07:30:00,ACS Petrolul 52,Unirea Slobozia,2.02,2.1,4.7,5.3,3.1,3.4,1.51,1.62,2.62,2.96,2.16,2.48,1.67,1.85,7.6,9.0,11.0,13.5,12.5,130.0,6.6,900.0,6.0,7.4,6.6,8.2,8.8,24.0,7.2,350.0,9.6,12.0,10.0,13.0,21.0,100.0,20.0,140.0,20.0,100.0,20.0,120.0,20.0,240.0,13.0,1000.0,20.0,36.0,6.6,160.0,7.2,1000.0,33870187,14299496.0,6803100.0,58805.0,1.237243024,1.237243069,1.237243108,1.237243033,2.26,2.9,1.58,1.78,6.8,10.5,1.11,1.17,2.58,2.9,1.53,1.63,1.23,1.28,1.9,1.99,1.42,1.48,1.237243025,1.237243027,1.237243028,1.237243072
Spanish Segunda RFEF - Group 2,2024-12-22,07:30:00,Real Zaragoza II,CD Alaves B,2.62,3.2,2.42,3.05,3.15,4.9,1.72,1.97,2.02,2.4,1.81,2.0,2.0,2.22,1.56,980.0,1.53,980.0,1.75,19.5,1.75,1000.0,1.54,980.0,1.94,980.0,1.57,980.0,1.75,1000.0,1.75,22.0,1.62,980.0,1.75,980.0,1.75,1000.0,1.75,1000.0,1.75,1000.0,1.75,1000.0,1.9,1000.0,1.53,1000.0,1.75,1000.0,1.75,1000.0,33874668,10479409.0,22681017.0,58805.0,1.237322392,1.237322437,1.237322476,1.237322401,2.46,110.0,1.4,1.69,3.1,15.5,1.07,1.35,2.9,4.3,1.34,1.48,1.49,1.67,1.45,1.62,1.31,1.47,1.237322393,1.237322395,1.237322396,1.237322440
Spanish Segunda RFEF - Group 4,2024-12-22,07:30:00,FC La Union Atletico,Linense,1.8,2.02,5.7,7.4,2.94,3.7,1.43,1.55,2.8,3.5,2.4,2.76,1.57,1.72,3.7,980.0,4.8,980.0,4.1,220.0,2.5,1000.0,3.3,22.0,3.7,28.0,3.9,980.0,2.52,420.0,3.95,420.0,4.3,980.0,3.35,980.0,2.5,1000.0,5.1,180.0,3.9,100.0,2.46,100.0,6.6,1000.0,2.34,32.0,1.95,1000.0,4.4,1000.0,33875009,21952475.0,3303612.0,58805.0,1.237331607,1.237331652,1.237331691,1.237331616,2.08,2.86,1.54,1.92,4.6,12.5,1.09,1.28,2.34,2.72,1.58,1.75,1.16,1.22,1.99,2.26,1.4,1.52,1.237331608,1.237331610,1.237331611,1.237331655
Spanish Segunda RFEF - Group 5,2024-12-22,07:30:00,Getafe B,Cacereno,2.1,2.48,3.65,4.9,2.86,4.1,1.46,1.7,2.42,3.2,2.08,2.36,1.74,1.92,2.68,980.0,3.0,980.0,2.66,150.0,2.46,900.0,3.2,980.0,3.1,38.0,2.54,980.0,2.44,250.0,3.2,70.0,2.94,980.0,2.62,980.0,2.52,1000.0,2.68,130.0,2.68,130.0,2.52,1000.0,2.52,1000.0,2.52,1000.0,2.52,1000.0,2.52,1000.0,33875031,4943234.0,4144561.0,58805.0,1.237331247,1.237331292,1.237331331,1.237331256,2.18,110.0,1.48,1.85,2.38,12.5,1.09,1.2,2.38,3.35,1.42,1.72,1.26,1.38,1.67,1.91,1.35,1.54,1.237331248,1.237331250,1.237331251,1.237331295
Turkish 1 Lig,2024-12-22,07:30:00,Keciorengucu,Fatih Karagumruk Istanbul,2.56,2.74,2.68,2.92,3.55,3.8,2.06,2.4,1.72,1.95,1.67,1.74,2.34,2.48,11.0,980.0,9.2,50.0,13.5,75.0,4.7,160.0,4.0,48.0,6.2,42.0,4.0,48.0,4.8,120.0,13.5,75.0,4.0,14.5,12.5,980.0,4.6,150.0,4.7,150.0,4.8,110.0,4.6,150.0,5.0,580.0,4.6,26.0,4.6,26.0,5.3,1000.0,33870075,2080693.0,10472882.0,58805.0,1.237237758,1.237237803,1.237237842,1.237237767,3.2,4.3,1.32,1.45,11.0,18.0,1.06,1.08,4.0,4.5,1.29,1.33,1.52,1.6,1.57,1.64,1.35,1.4,1.237237759,1.237237761,1.237237762,1.237237806
Turkish Super League,2024-12-22,07:30:00,Gaziantep FK,Antalyaspor,2.26,2.32,3.55,3.65,3.5,3.55,1.99,2.08,1.93,2.02,1.76,1.8,2.26,2.32,13.0,14.5,13.0,15.0,22.0,25.0,40.0,65.0,9.8,11.0,7.2,7.8,13.5,15.0,34.0,40.0,13.0,15.0,10.0,11.5,15.0,20.0,44.0,75.0,26.0,29.0,21.0,29.0,32.0,38.0,50.0,95.0,15.0,17.0,32.0,36.0,12.5,1000.0,33870069,13848831.0,113188.0,58805.0,1.237237704,1.237237714,1.237237703,1.237237713,3.15,3.4,1.41,1.47,12.5,15.5,1.07,1.09,4.0,4.3,1.3,1.33,1.37,1.4,1.76,1.8,1.39,1.4,1.237237695,1.237237707,1.237237708,1.237237718
Turkish 2 Lig,2024-12-22,08:00:00,Kepez Belediyespor,1461 Trabzon,1.88,2.2,3.65,4.4,3.4,5.2,1.99,2.24,1.8,2.02,1.66,1.85,2.16,2.5,5.0,980.0,4.8,980.0,4.2,90.0,4.4,900.0,4.8,44.0,4.3,42.0,4.9,980.0,4.3,130.0,5.0,65.0,4.8,44.0,5.0,980.0,4.8,1000.0,5.2,140.0,5.0,95.0,4.4,140.0,4.4,580.0,4.8,22.0,4.3,55.0,4.6,1000.0,33875181,5204763.0,5289229.0,58805.0,1.237334253,1.237334298,1.237334339,1.237334262,1.2,4.2,1.31,1.54,3.9,1000.0,1.04,1.35,3.9,5.2,1.27,1.35,1.29,1.38,1.83,2.14,1.29,1.42,1.237334254,1.237334256,1.237334257,1.237334302
