League,Home,Away,Date,Time,ID_Evento,IDMercado_Match_Odds,IDMercado_Correct_Score,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score?,IDMercado_Double_Chance,IDMercado_Half_Time,IDMercado_Half_Time_Score,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Asian_Handicap,IDMercado_Goal_Lines
Chinese Super League,Qingdao Youth Island,Shandong Taishan,2025-04-15,07:30:00,34210779,1.242221412,1.242221421,1.242221416,1.242221426,1.242221422,1.242221368,1.242221423,1.242221420,1.242221418,1.242221408,1.242221409,1.242221411,1.242221403,1.242221419,1.242221424,1.242221415,1.242221417,1.242221410,1.242221369,1.242221334
Chinese Super League,Wuhan Three Towns,Beijing Guoan,2025-04-15,08:35:00,34217159,1.242331971,1.242331980,1.242331975,1.242332019,1.242332016,1.242332020,1.242332017,1.242331979,1.242331977,1.242331970,1.242331968,1.242332055,1.242331972,1.242331978,1.242332015,1.242331974,1.242331976,1.242331969,1.242332021,1.242331981
Chinese Super League,Sichuan Jiuniu FC,Changchun Yatai,2025-04-15,09:00:00,34210662,1.242221520,1.242221529,1.242221524,1.242221534,1.242221530,1.242221476,1.242221531,1.242221528,1.242221526,1.242221516,1.242221517,1.242221519,1.242221511,1.242221527,1.242221532,1.242221523,1.242221525,1.242221518,1.242221477,1.242221442
Romanian Liga II,FC Voluntari,Arges Pitesti,2025-04-15,11:30:00,34208267,1.242184829,1.242184838,1.242184833,1.242184877,1.242184874,1.242184878,1.242184875,1.242184837,1.242184835,1.242184828,1.242184826,1.242184913,1.242184830,1.242184836,1.242184873,1.242184832,1.242184834,1.242184827,1.242184879,1.242184839
Latvian Virsliga,SC Grobina,Rigas Futbola Skola,2025-04-15,12:00:00,34204716,1.242130362,1.242130371,1.242130366,1.242130410,1.242130407,1.242130411,1.242130408,1.242130370,1.242130368,1.242130361,1.242130359,1.242130446,1.242130363,1.242130369,1.242130406,1.242130365,1.242130367,1.242130360,1.242130412,1.242130372
Algerian Ligue 1,Olympique Akbou,MC Alger,2025-04-15,12:30:00,34217518,1.242344608,1.242344617,1.242344612,1.242344656,1.242344653,1.242344657,1.242344654,1.242344616,1.242344614,1.242344607,1.242344605,1.242344692,1.242344609,1.242344615,1.242344652,1.242344611,1.242344613,1.242344606,1.242344658,1.242344618
AFC Champions League Two,Al Sharjah,Al-Taawoun Buraidah,2025-04-15,13:00:00,34207411,1.242175455,1.242175465,1.242175459,1.242175506,1.242175503,1.242175507,1.242175504,1.242175464,1.242175461,1.242175454,1.242175452,1.242175543,1.242175456,1.242175463,1.242175501,1.242175458,1.242175460,1.242175453,1.242175508,1.242175466
Bulgarian B League,Etar,Dobrudzha,2025-04-15,13:00:00,34203109,1.242111230,1.242111239,1.242111234,1.242111278,1.242111275,1.242111279,1.242111276,1.242111238,1.242111236,1.242111229,1.242111227,1.242111314,1.242111231,1.242111237,1.242111274,1.242111233,1.242111235,1.242111228,1.242111280,1.242111240
Latvian Virsliga,BFC Daugavpils,SK Super Nova,2025-04-15,13:00:00,34204715,1.242130452,1.242130461,1.242130456,1.242130500,1.242130497,1.242130501,1.242130498,1.242130460,1.242130458,1.242130451,1.242130449,1.242130536,1.242130453,1.242130459,1.242130496,1.242130455,1.242130457,1.242130450,1.242130502,1.242130462
Swedish Superettan,Orebro,Helsingborgs,2025-04-15,14:00:00,34204125,1.242134492,1.242134501,1.242134496,1.242134540,1.242134537,1.242134541,1.242134538,1.242134500,1.242134498,1.242134491,1.242134489,1.242134576,1.242134493,1.242134499,1.242134536,1.242134495,1.242134497,1.242134490,1.242134542,1.242134502
South African Premier Division,Stellenbosch FC,Amazulu,2025-04-15,14:30:00,34215112,1.242298675,1.242298684,1.242298679,1.242298723,1.242298720,1.242298724,1.242298721,1.242298683,1.242298681,1.242298674,1.242298672,1.242298759,1.242298676,1.242298682,1.242298719,1.242298678,1.242298680,1.242298673,1.242298725,1.242298685
English FA Women's Super League 1,Arsenal (W),Leicester City (W),2025-04-15,15:30:00,34203247,1.242112182,1.242112191,1.242112186,1.242112230,1.242112227,1.242112231,1.242112228,1.242112190,1.242112188,1.242112181,1.242112179,1.242112266,1.242112183,1.242112189,1.242112226,1.242112185,1.242112187,1.242112180,1.242112232,1.242112192
English League 2,Salford City,Doncaster,2025-04-15,15:45:00,34213905,1.242275574,1.242275583,1.242275578,1.242275588,1.242275584,1.242275530,1.242275585,1.242275582,1.242275580,1.242275570,1.242275571,1.242275573,1.242275565,1.242275581,1.242275586,1.242275577,1.242275579,1.242275572,1.242275531,1.242275496
UEFA Champions League,Dortmund,Barcelona,2025-04-15,16:00:00,34206421,1.242152106,1.242152116,1.242152111,1.242152049,1.242152045,1.242152058,1.242152046,1.242152115,1.242152113,1.242152102,1.242152103,1.242152105,1.242152108,1.242152114,1.242152047,1.242152110,1.242152112,1.242152104,1.242152059,1.242152118
