League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
USA MLS,2024-12-01,00:00:00,0,LA Galaxy,Seattle Sounders,2.4,2.3,4.33,1.9,3.41,3.56,1.33,3.25,1.03,15.0,1.22,4.33,1.65,2.1,1.62,2.2,1.28,1.22,1.92,2.0,1.63,1.6,1.45,3.05,1.7,6.5,2.23,1.2,3.8,1.37,2.8,1.61,2.15,1.96,1.73,2.45,1.48
Japan J2 League,2024-12-01,01:05:00,0,V-Varen Nagasaki,Vegalta Sendai,2.7,2.28,3.45,2.15,3.4,2.88,1.3,3.2,1.01,11.0,1.2,4.3,1.64,2.18,1.56,2.34,1.31,1.24,1.54,1.92,1.72,1.56,1.31,2.87,2.13,6.45,2.13,1.22,3.35,1.44,2.43,1.95,1.85,2.28,1.5,3.02,1.27
Japan J2 League,2024-12-01,02:00:00,0,Montedio Yamagata,Fagiano Okayama,3.0,2.11,3.4,2.4,3.56,2.83,1.4,2.75,1.03,9.0,1.29,3.4,1.8,1.94,1.72,2.05,1.34,1.28,1.44,1.69,1.74,1.45,1.43,2.88,2.34,6.75,1.93,0.0,0.0,1.28,2.97,1.53,2.21,1.93,1.78,2.43,1.44
Japan J1 League,2024-12-01,02:00:00,37,Sanfrecce Hiroshima,Consadole Sapporo,1.8,2.75,7.0,1.27,5.27,8.11,1.25,3.75,0.0,0.0,1.13,5.75,1.4,2.75,1.7,2.05,1.04,1.11,3.25,2.05,0.74,1.95,1.23,3.18,1.25,10.0,4.5,0.0,0.0,0.0,0.0,1.88,1.92,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-12-01,06:30:00,15,Schwarz-Weiß Bregenz,Kapfenberger SV,2.88,2.2,3.25,2.25,3.5,2.88,1.33,3.25,1.01,11.0,1.22,4.0,1.75,2.05,1.62,2.2,1.4,1.22,1.62,2.0,1.63,1.76,1.13,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0
Bulgaria First League,2024-12-01,07:30:00,17,Lokomotiv Plovdiv,Botev Plovdiv,4.5,2.05,2.75,3.8,3.3,2.0,1.5,2.5,1.01,7.8,1.38,2.9,2.25,1.62,1.91,1.8,1.68,1.26,1.2,0.67,2.33,1.42,1.52,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal LigaPro,2024-12-01,08:00:00,12,FC Penafiel,CD Mafra,2.62,2.0,4.5,1.99,3.34,3.75,1.48,2.54,1.03,6.95,1.35,2.65,2.15,1.57,1.96,1.75,1.25,1.31,1.76,1.71,1.0,1.21,1.08,2.29,1.82,8.0,2.33,1.14,4.15,1.39,2.78,1.65,2.1,2.05,1.68,2.65,1.42
Poland Ekstraklasa,2024-12-01,08:15:00,17,Korona Kielce,Górnik Zabrze,3.4,2.05,3.4,2.63,3.25,2.7,1.44,2.63,1.07,8.0,1.36,3.1,2.1,1.7,1.8,1.95,1.45,1.28,1.48,0.88,1.56,1.43,1.25,2.68,1.53,6.4,2.55,1.3,3.05,1.53,2.25,2.25,1.78,2.33,1.49,3.05,1.3
Netherlands Eerste Divisie,2024-12-01,08:15:00,17,De Graafschap,VVV,1.78,2.9,6.0,1.34,5.49,7.28,1.16,4.6,0.0,0.0,1.1,6.5,1.36,3.1,1.57,2.35,1.08,1.1,3.25,2.44,0.88,1.79,1.36,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eredivisie,2024-12-01,08:15:00,14,Utrecht,PSV,5.0,2.5,2.05,5.23,4.46,1.53,1.29,3.5,1.02,19.0,1.16,4.87,1.5,2.6,1.62,2.2,2.45,1.17,1.16,2.14,2.63,1.43,1.89,3.32,2.8,7.0,1.49,1.2,3.9,1.37,2.8,1.61,2.15,1.95,1.77,2.48,1.47
