League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
SOUTH KOREA 1,2025-05-05,04:30:00,12,Gwangju,Sangju Sangmu,3.4,2.05,3.4,2.35,3.3,2.75,1.44,2.63,3.25,1.33,10.0,1.06,0.0,0.0,0.0,0.0,1.91,1.73,1.83,1.83,0.0,0.0,0.0,2.0,1.67,1.66,1.51,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH KOREA 1,2025-05-05,04:30:00,12,Ulsan,Pohang Steelers,2.38,2.2,5.0,1.67,3.6,4.7,1.4,2.75,2.75,1.4,8.0,1.08,0.0,0.0,0.0,0.0,1.8,1.83,1.83,1.83,0.0,0.0,0.0,1.43,1.0,2.06,1.57,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINA 1,2025-05-05,04:30:00,11,Dalian Zhixing,Beijing Guoan,0.0,0.0,0.0,3.5,3.5,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,1.99,0.0,0.0,0.0,0.0,0.0,2.5,1.8,2.04,1.5,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINA 1,2025-05-05,08:00:00,11,Henan Jianye,Tianjin Teda,0.0,0.0,0.0,2.05,3.45,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,1.98,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.41,1.14,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINA 1,2025-05-05,08:00:00,11,Wuhan Three Towns,Shanghai SIPG,0.0,0.0,0.0,4.5,4.5,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.33,2.09,1.57,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINA 1,2025-05-05,08:35:00,11,Qingdao Jonoon,Changchun Yatai,0.0,0.0,0.0,2.5,3.4,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,2.03,0.0,0.0,0.0,0.0,0.0,0.6,0.5,1.41,1.25,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINA 1,2025-05-05,08:35:00,11,Chengdu Better City FC,Zhejiang FC,0.0,0.0,0.0,1.38,5.02,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,2.13,1.32,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINA 1,2025-05-05,09:00:00,11,Yunnan Yukun,Shandong Luneng,0.0,0.0,0.0,3.7,3.9,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,1.6,1.9,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGYPT 1,2025-05-05,11:00:00,4,Petrojet,Ceramica Cleopatra,3.5,1.77,3.0,3.47,2.68,2.18,1.43,2.74,2.9,1.33,7.5,1.07,1.05,8.1,1.36,2.95,1.92,1.78,1.77,1.87,1.27,1.35,1.33,1.25,1.42,1.46,1.56,3.02,0.0,0.0,0.0,0.0,0.0,1.62,2.25,1.96,1.75,2.55,1.45,0.0,0.0
ROMANIA 1,2025-05-05,11:30:00,7,UTA Arad,Petrolul 52,3.0,1.91,4.0,2.34,3.03,3.19,1.52,2.43,3.5,1.24,8.9,1.05,1.07,7.0,1.48,2.55,2.37,1.48,2.05,1.75,1.33,1.36,1.57,1.22,1.0,1.53,1.34,2.87,1.9,6.4,2.1,1.38,2.7,1.65,2.05,2.05,1.65,2.63,1.4,3.4,1.25
GREECE 1,2025-05-05,12:00:00,6,Panserraikos,Volos NFC,2.09,2.09,7.3,1.69,3.3,5.1,1.44,2.5,3.28,1.27,9.1,1.0,1.02,8.0,1.38,2.7,2.1,1.6,2.36,1.52,1.1,1.26,2.53,1.31,1.33,1.46,1.12,2.58,1.32,7.0,3.8,1.5,2.25,1.83,1.77,2.35,1.46,3.1,1.27,4.2,1.15
GREECE 1,2025-05-05,12:00:00,6,Kallithea,Panaitolikos,2.5,2.05,5.0,1.8,3.2,4.4,1.5,2.5,3.4,1.3,10.0,1.06,1.04,6.75,1.41,2.6,2.25,1.53,2.05,1.7,1.2,1.33,1.91,0.93,1.2,1.46,1.0,2.46,1.49,6.5,2.9,1.42,2.45,1.73,1.88,2.16,1.54,2.8,1.33,3.75,1.18
IRELAND 1,2025-05-05,13:00:00,14,Drogheda United,Cork City,2.5,2.1,3.8,1.63,3.6,5.1,1.4,2.7,2.9,1.35,6.8,1.07,1.07,6.8,1.32,3.1,2.0,1.67,1.95,1.8,1.3,0.0,1.91,1.5,0.33,1.44,1.13,2.57,1.64,9.1,2.73,1.25,3.4,1.44,2.5,1.72,1.96,1.98,1.81,2.7,1.38
IRELAND 1,2025-05-05,13:00:00,14,Galway United,Bohemians,3.22,2.02,3.77,2.6,3.1,2.55,1.44,2.5,3.3,1.25,8.5,1.04,1.08,7.5,1.4,2.63,2.3,1.5,1.95,1.75,1.36,0.0,1.5,1.67,1.0,1.65,1.32,2.97,1.9,6.5,2.08,1.29,3.15,1.52,2.32,1.83,1.83,2.3,1.52,2.95,1.33
IRELAND 1,2025-05-05,13:00:00,14,Shelbourne,Waterford,2.2,2.15,4.6,1.48,3.8,6.5,1.4,2.7,3.0,1.33,6.8,1.07,1.06,7.2,1.36,2.9,2.0,1.65,2.1,1.67,1.29,0.0,2.25,1.5,1.29,2.05,0.92,2.97,1.46,7.0,3.05,1.27,3.3,1.52,2.45,1.78,1.88,2.23,1.56,2.85,1.34
POLAND 1,2025-05-05,14:00:00,31,Korona Kielce,GKS Katowice,2.7,2.1,3.6,2.16,3.41,3.19,1.36,2.9,2.62,1.42,6.75,1.09,1.05,9.0,1.22,3.4,1.85,1.89,1.73,2.05,1.29,1.29,1.7,1.53,1.13,1.47,1.53,3.0,1.64,8.0,2.7,1.2,3.98,1.36,2.55,1.65,2.21,2.05,1.75,2.63,1.36
PORTUGAL 2,2025-05-05,14:00:00,32,FC Penafiel,Torreense,3.4,2.2,3.0,2.8,3.2,2.4,1.4,2.75,2.75,1.4,8.0,1.08,0.0,0.0,0.0,0.0,1.85,1.75,1.73,2.0,0.0,0.0,0.0,1.53,1.6,1.37,1.43,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURKEY 1,2025-05-05,14:00:00,34,Kasımpaşa,Trabzonspor,3.1,2.4,3.0,2.64,3.63,2.45,1.29,3.5,2.25,1.57,5.5,1.14,0.0,0.0,0.0,0.0,1.52,2.4,1.5,2.5,0.0,0.0,0.0,1.4,0.73,1.71,1.32,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENMARK 1,2025-05-05,14:00:00,7,SønderjyskE,AaB,2.85,2.3,3.3,2.29,3.51,2.87,1.3,3.1,2.4,1.5,6.2,1.11,1.04,10.5,1.21,4.25,1.65,2.05,1.62,2.2,1.27,1.25,1.6,1.07,0.82,1.33,1.31,2.64,1.74,8.5,2.3,1.16,4.1,1.47,2.48,1.84,2.15,2.07,1.68,2.67,1.39
