League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
CROATIA 2,2025-04-27,08:15,Orijent,Sesvete,0.0,0.0,0.0,https://www.radarfutebol.com/radar/nk-sesvete-hnk-orijent/13624855,13624855
GERMANY 2,2025-04-27,08:30,Kaiserslautern,Schalke,2.1,3.5,3.25,https://www.radarfutebol.com/radar/1-fc-kaiserslautern-fc-schalke-04/12499201,12499201
GERMANY 2,2025-04-27,08:30,Hamburger SV,Karlsruher SC,1.5,4.75,5.25,https://www.radarfutebol.com/radar/hamburger-sv-karlsruher-sc/12499198,12499198
ROMANIA 1,2025-04-27,08:30,Gloria Buzau,FC Botosani,4.2,3.4,1.72,https://www.radarfutebol.com/radar/fc-botosani-fc-gloria-buzau/13592391,13592391
GERMANY 2,2025-04-27,08:30,Hannover,FC Koln,3.3,3.4,2.15,https://www.radarfutebol.com/radar/1-fc-koln-hannover-96/12499199,12499199
ESTONIA 1,2025-04-27,08:30,Flora,Kalju,1.88,3.4,3.5,https://www.radarfutebol.com/radar/nomme-kalju-flora-tallinn/13554405,13554405
BELGIUM 1,2025-04-27,08:30,Gent,Anderlecht,3.1,3.1,2.35,https://www.radarfutebol.com/radar/kaa-gent-rsc-anderlecht/13631352,13631352
CHINA 1,2025-04-27,08:35,Qingdao Hainiu,Meizhou Hakka,3.0,3.7,2.2,https://www.radarfutebol.com/radar/meizhou-hakka-qingdao-hainiu/13400419,13400419
GREECE 2,2025-04-27,08:45,Kavala,Ethnikos Neou,0.0,0.0,0.0,https://www.radarfutebol.com/radar/ethnikos-neou-keramidiou-ao-kavala/13480382,13480382
GREECE 2,2025-04-27,08:45,Giannina,Iraklis 1908,0.0,0.0,0.0,https://www.radarfutebol.com/radar/iraklis-1908-pas-giannina/13480436,13480436
SERBIA 2,2025-04-27,09:00,Vozdovac,Graficar Beograd,0.0,0.0,0.0,https://www.radarfutebol.com/radar/rfk-graficar-beograd-fk-vozdovac/13728870,13728870
SWEDEN 1,2025-04-27,09:00,Mjallby,Degerfors,1.55,4.2,5.5,https://www.radarfutebol.com/radar/degerfors-if-mjallby-aif/13292419,13292419
